id_camp,id_ticket,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber,TripType
323678,3033,Friday,60538896309,1,FINANCIAL SERVICES,276,
323679,7314,Saturday,60538802945,1,IMPULSE MERCHANDISE,1001,
323680,13282,Sunday,60538812236,1,FINANCIAL SERVICES,278,
323681,57315,Sunday,60538812236,1,FINANCIAL SERVICES,278,
323682,132845,Friday,68113163353,1,FINANCIAL SERVICES,277,
323683,138791,Saturday,68113163351,1,FINANCIAL SERVICES,275,
323684,187894,Sunday,7154901964,1,LAWN AND GARDEN,5143,
323685,50204,Saturday,2685186583,1,PETS AND SUPPLIES,3210,
323686,3800,Friday,78735917500,1,PRODUCE,7101,
323687,14225,Sunday,87121700711,1,PERSONAL CARE,8101,
323688,15179,Sunday,68113168760,1,PHARMACY OTC,3536,
323689,15689,Sunday,4338832066,1,SPORTING GOODS,101,
323690,17031,Sunday,30045021218,1,PHARMACY OTC,2401,
323691,21382,Monday,79108330234,1,PHARMACY OTC,610,
323692,68130,Monday,7417042886,1,BEAUTY,2055,
323693,109354,Monday,68113191678,1,SERVICE DELI,3051,
323694,120082,Wednesday,5200012178,1,DSD GROCERY,4607,
323695,146339,Sunday,31254723722,1,PHARMACY OTC,3514,
323696,156463,Tuesday,20154200000,1,SERVICE DELI,8001,
323697,160522,Tuesday,3660230146,1,PHARMACY OTC,1110,
323698,164155,Wednesday,7431255368,1,PHARMACY OTC,502,
323699,35425,Wednesday,74759960725,1,"CANDY, TOBACCO, COOKIES",84,
323700,38149,Thursday,3410000355,2,"LIQUOR,WINE,BEER",1201,
323701,94701,Saturday,4045,1,PRODUCE,3004,
323702,120761,Wednesday,2820031042,1,"CANDY, TOBACCO, COOKIES",8018,
323703,15085,Sunday,7920023544,1,IMPULSE MERCHANDISE,110,
323704,34685,Wednesday,73114972560,2,SEAFOOD,1078,
323705,44494,Friday,1380016668,4,FROZEN FOODS,4138,
323706,51978,Saturday,30997869543,1,PERSONAL CARE,5365,
323707,89256,Friday,7680851829,1,GROCERY DRY GOODS,3940,
323708,99173,Saturday,7518500001,1,COMM BREAD,3725,
323709,100749,Sunday,7071800075,1,GROCERY DRY GOODS,2905,
323710,116488,Tuesday,22607600000,1,SERVICE DELI,4041,
323711,165567,Wednesday,7874222868,1,DAIRY,7958,
323712,176049,Friday,4141978049,1,DSD GROCERY,3852,
323713,6225,Saturday,7618316850,1,DSD GROCERY,3054,
323714,10639,Saturday,68113103915,1,BEAUTY,4010,
323715,12139,Saturday,7084781116,1,DSD GROCERY,3467,
323716,41515,Thursday,7874205776,2,PRODUCE,33,
323717,42728,Thursday,7420854506,1,PERSONAL CARE,6105,
323718,80771,Wednesday,4011,1,PRODUCE,5501,
323719,110130,Monday,7618316850,1,DSD GROCERY,3054,
323720,116121,Tuesday,7432309164,1,COMM BREAD,3724,
323721,130938,Friday,30521500700,1,PERSONAL CARE,3010,
323722,144736,Sunday,7874235186,1,DAIRY,1508,
323723,165844,Wednesday,2800000823,1,DSD GROCERY,4635,
323724,172165,Friday,61126999100,1,DSD GROCERY,3467,
323725,175607,Friday,61126981899,1,DSD GROCERY,3467,
323726,178710,Saturday,9933894736,1,LADIESWEAR,201,
323727,179481,Saturday,5026741390,1,HARDWARE,2360,
323728,2644,Friday,7116001033,1,COOK AND DINE,2805,
323729,48296,Friday,72654750506,2,LADIESWEAR,822,
323730,59298,Sunday,64541679292,1,CELEBRATION,14,
323731,121461,Wednesday,3400000240,1,IMPULSE MERCHANDISE,100,
323732,134367,Friday,61126999100,1,DSD GROCERY,3467,
323733,142613,Saturday,8.81E+11,1,LADIESWEAR,286,
323734,163132,Wednesday,7164107463,1,OFFICE SUPPLIES,6733,
323735,173596,Friday,68113103915,1,BEAUTY,4010,
323736,113585,Tuesday,4900005199,1,DSD GROCERY,9570,
323737,8275,Saturday,7874298923,1,BAKERY,2046,
323738,36994,Wednesday,64541699050,1,CELEBRATION,1805,
323739,45766,Friday,2840023824,1,DSD GROCERY,3658,
323740,55237,Saturday,7711550003,1,HARDWARE,5857,
323741,67757,Monday,2430004446,1,COMM BREAD,3707,
323742,95469,Saturday,1404554343,1,CELEBRATION,9725,
323743,129445,Thursday,7618316363,1,DSD GROCERY,3054,
323744,147431,Sunday,4400003215,2,IMPULSE MERCHANDISE,804,
323745,12656,Saturday,4000015147,2,"CANDY, TOBACCO, COOKIES",83,
323746,186520,Sunday,84521801124,1,TOYS,1704,
323747,188157,Sunday,64541667139,1,CELEBRATION,31,
323748,64531,Monday,9140000064,1,AUTOMOTIVE,251,
323749,140078,Saturday,4900003165,1,DSD GROCERY,9205,
323750,1607,Friday,7431974072,2,OFFICE SUPPLIES,3540,
323751,6873,Saturday,1117950216,1,CELEBRATION,130,
323752,8114,Saturday,68113108573,1,PRODUCE,7027,
323753,55578,Saturday,2454310140,1,MEDIA AND GAMING,9257,
323754,125484,Thursday,2724286010,1,ELECTRONICS,5215,
323755,15020,Sunday,3408663825,1,BEDDING,6015,
323756,24364,Monday,8000051306,2,GROCERY DRY GOODS,2906,
323757,52366,Saturday,7874201493,1,"CANDY, TOBACCO, COOKIES",96,
323758,57474,Sunday,7217922825,1,COOK AND DINE,371,
323759,64362,Monday,1443474732,1,FABRICS AND CRAFTS,7007,
323760,72439,Tuesday,1714580642,1,IMPULSE MERCHANDISE,8245,
323761,109295,Monday,7314945922,1,HOME MANAGEMENT,6606,
323762,112108,Monday,4900000764,1,DSD GROCERY,9546,
323763,139021,Saturday,84970900340,1,BATH AND SHOWER,1704,
323764,140092,Saturday,4316868511,1,HARDWARE,4514,
323765,143252,Saturday,2260022339,1,PERSONAL CARE,1414,
323766,152876,Monday,7518500100,1,COMM BREAD,3704,
323767,168705,Thursday,7001119516,1,LADIES SOCKS,3052,
323768,169485,Thursday,4704203454,1,HOME DECOR,390,
323769,190762,Sunday,82927400622,1,PETS AND SUPPLIES,1415,
323770,66677,Monday,7871577286,1,MENS WEAR,5542,
323771,73728,Tuesday,81655901306,2,PERSONAL CARE,5031,
323772,76090,Wednesday,66553830654,1,BATH AND SHOWER,1340,
323773,87837,Friday,8.81E+11,1,LADIESWEAR,324,
323774,90005,Friday,88530618812,1,MENS WEAR,1800,
323775,117831,Tuesday,71627241409,1,SLEEPWEAR/FOUNDATIONS,225,
323776,124734,Thursday,88882513483,1,LADIESWEAR,1280,
323777,138533,Saturday,5200010312,1,DSD GROCERY,4607,
323778,153206,Monday,3400040362,1,"CANDY, TOBACCO, COOKIES",83,
323779,158128,Tuesday,8.81E+11,1,LADIESWEAR,324,
323780,183602,Saturday,6830563233,1,PERSONAL CARE,210,
323781,181867,Saturday,7314924709,1,HOME MANAGEMENT,5410,
323782,161064,Tuesday,7910052513,2,PETS AND SUPPLIES,1943,
323783,78650,Wednesday,7434582823,2,SPORTING GOODS,8157,
323784,140494,Saturday,3501194894,1,TOYS,6215,
323785,3630,Friday,1558679391,1,FABRICS AND CRAFTS,8055,
323786,19416,Sunday,7192154674,1,FROZEN FOODS,9116,
323787,61515,Sunday,88883306508,1,SHOES,1617,
323788,64604,Monday,1600040597,1,GROCERY DRY GOODS,3506,
323789,158190,Tuesday,8.81E+11,1,LADIESWEAR,323,
323790,187579,Sunday,7603183818,1,MENS WEAR,5207,
323791,137688,Saturday,7111702793,1,DAIRY,7963,
323792,12307,Saturday,2840042054,1,IMPULSE MERCHANDISE,808,
323793,27333,Tuesday,4740011579,1,PERSONAL CARE,1403,
323794,29216,Tuesday,89018000197,1,INFANT CONSUMABLE HARDLINES,3166,
323795,38782,Thursday,3700028253,1,INFANT CONSUMABLE HARDLINES,9011,
323796,49629,Saturday,2405426738,1,INFANT APPAREL,6477,
323797,62293,Sunday,2840006408,1,DSD GROCERY,7002,
323798,80449,Wednesday,88614999969,1,INFANT APPAREL,1583,
323799,102307,Sunday,3700087949,1,INFANT CONSUMABLE HARDLINES,210,
323800,143427,Saturday,4740004474,2,PERSONAL CARE,1403,
323801,143850,Sunday,1500004731,1,INFANT CONSUMABLE HARDLINES,3163,
323802,7637,Saturday,67811210828,1,HOUSEHOLD CHEMICALS/SUPP,5510,
323803,12056,Saturday,7874201847,1,HOUSEHOLD PAPER GOODS,240,
323804,39315,Thursday,2240064217,1,PERSONAL CARE,5015,
323805,64860,Monday,1111132518,2,PERSONAL CARE,3163,
323806,148761,Sunday,3500005364,1,HOUSEHOLD CHEMICALS/SUPP,6510,
323807,40711,Thursday,4740065395,1,PERSONAL CARE,1411,
323808,56961,Sunday,7061400191,1,PETS AND SUPPLIES,5610,
323809,127678,Thursday,2310003320,1,PETS AND SUPPLIES,610,
323810,148368,Sunday,80190,1,PETS AND SUPPLIES,7905,
323811,150675,Monday,4222281210,1,PRE PACKED DELI,7506,
323812,189064,Sunday,81814501041,1,PETS AND SUPPLIES,810,
323813,5211,Friday,3010010026,1,DSD GROCERY,2550,
323814,96832,Saturday,2500001010,1,DSD GROCERY,3004,
323815,101131,Sunday,4178000188,2,DSD GROCERY,3651,
323816,110784,Monday,2560000175,1,BAKERY,1005,
323817,116200,Tuesday,20279200000,1,SERVICE DELI,4042,
323818,129825,Thursday,3400019141,1,"CANDY, TOBACCO, COOKIES",74,
323819,4053,Friday,3500074065,1,PERSONAL CARE,203,
323820,13402,Sunday,4116760352,1,PERSONAL CARE,5055,
323821,27196,Tuesday,83082700100,1,PERSONAL CARE,6113,
